id,cg_id,date,open,high,low,close
fiat_eur_02102015,fiat_eur,02-10-2015,1.11927,1.13184,1.11499,1.12059
fiat_eur_03102015,fiat_eur,03-10-2015,1.11927,1.13184,1.11499,1.12059
fiat_eur_04102015,fiat_eur,04-10-2015,1.12175,1.12892,1.11733,1.11849
fiat_eur_05102015,fiat_eur,05-10-2015,1.11849,1.12795,1.11719,1.12685
fiat_eur_06102015,fiat_eur,06-10-2015,1.12685,1.12842,1.12114,1.12373
fiat_eur_07102015,fiat_eur,07-10-2015,1.12373,1.13277,1.12345,1.12748
fiat_eur_08102015,fiat_eur,08-10-2015,1.12748,1.13871,1.12671,1.13525
fiat_eur_09102015,fiat_eur,09-10-2015,1.12748,1.13871,1.12671,1.13525
fiat_eur_10102015,fiat_eur,10-10-2015,1.12748,1.13871,1.12671,1.13525
fiat_eur_11102015,fiat_eur,11-10-2015,1.13604,1.13968,1.13536,1.13574
fiat_eur_12102015,fiat_eur,12-10-2015,1.13574,1.1411,1.13439,1.13785
fiat_eur_13102015,fiat_eur,13-10-2015,1.13785,1.1489,1.13773,1.14736
fiat_eur_14102015,fiat_eur,14-10-2015,1.14736,1.14952,1.13631,1.13863
fiat_eur_15102015,fiat_eur,15-10-2015,1.13863,1.13949,1.13342,1.13474
fiat_eur_16102015,fiat_eur,16-10-2015,1.13863,1.13949,1.13342,1.13474
fiat_eur_17102015,fiat_eur,17-10-2015,1.13863,1.13949,1.13342,1.13474
fiat_eur_18102015,fiat_eur,18-10-2015,1.13565,1.13791,1.13054,1.13234
fiat_eur_19102015,fiat_eur,19-10-2015,1.13234,1.1387,1.13226,1.13445
fiat_eur_20102015,fiat_eur,20-10-2015,1.13445,1.13774,1.13338,1.13381
fiat_eur_21102015,fiat_eur,21-10-2015,1.13381,1.13511,1.10999,1.1108
fiat_eur_22102015,fiat_eur,22-10-2015,1.1108,1.11396,1.09964,1.10114
fiat_eur_23102015,fiat_eur,23-10-2015,1.1108,1.11396,1.09964,1.10114
fiat_eur_24102015,fiat_eur,24-10-2015,1.1108,1.11396,1.09964,1.10114
fiat_eur_25102015,fiat_eur,25-10-2015,1.09993,1.10682,1.0998,1.10566
fiat_eur_26102015,fiat_eur,26-10-2015,1.10566,1.10786,1.10302,1.10486
fiat_eur_27102015,fiat_eur,27-10-2015,1.10486,1.10958,1.08969,1.09216
fiat_eur_28102015,fiat_eur,28-10-2015,1.09216,1.09857,1.0902,1.09755
fiat_eur_29102015,fiat_eur,29-10-2015,1.09755,1.10725,1.09655,1.10009
fiat_eur_30102015,fiat_eur,30-10-2015,1.09755,1.10725,1.09655,1.10009
fiat_eur_31102015,fiat_eur,31-10-2015,1.09755,1.10725,1.09655,1.10009
fiat_eur_01112015,fiat_eur,01-11-2015,1.10359,1.10532,1.10003,1.10139
fiat_eur_02112015,fiat_eur,02-11-2015,1.10139,1.10299,1.09358,1.09588
fiat_eur_03112015,fiat_eur,03-11-2015,1.09588,1.09678,1.08441,1.08631
fiat_eur_04112015,fiat_eur,04-11-2015,1.08631,1.08977,1.08335,1.08837
fiat_eur_05112015,fiat_eur,05-11-2015,1.08837,1.08936,1.07053,1.07366
