date,type,qty_a,actif_a_id,price,qty_v,actif_v_id,destination,qty_f,actif_f_id,origin,value_f,value_a,id
10-01-24 22:50:00,Transfert,408.0,tether,,,,Binance,0.29,tether,Bitget,,1.0,76
26-01-24 22:15:00,Swap,1004.35988,tether,0.338524075653042,340.0,akash-network,KuCoin,2.0086,tether,,,1.0,77
16-02-24 08:39:00,Depot,10500.0,fiat_eur,,,,Bitget,,,,,1.076,78
29-02-24 22:02:00,Swap,67.77,livepeer,14.05,952.1685,tether,Bitget,0.06777,livepeer,,,14.05,79
01-03-24 10:00:00,Airdrop,319544.31069598,htx-dao,,,,Bitget,,,,,0.000001836,80
02-03-24 20:41:00,Swap,4000.0,0x0-ai-ai-smart-contract,0.27,1080.0,tether,Bitget,4.0,0x0-ai-ai-smart-contract,,,0.27,81
05-03-24 09:59:00,Swap,238.1787,route,4.2,1000.35054,tether,KuCoin,2.0006,tether,,,4.2,82
05-03-24 17:24:00,Transfert,0.02540229,ethereum,,,,Bitget,0.00019229,ethereum,Trust Wallet (ARB),,3710.0,83
11-03-24 09:48:00,Transfert,2000.0,tether,,,,KuCoin,1.0,tether,Bitget,,1.0,84
11-03-24 09:54:00,Swap,142.5,lukso-token-2,6.999993708,997.49910339,tether,KuCoin,0.9974991,tether,,,6.999993708,85
13-03-24 14:00:00,Swap,100.0,frax-share,9.9,990.0,tether,Binance,0.08,frax-share,,,9.9,86
13-03-24 14:25:00,Swap,1520.0,tether,1.0,1520.0,usd-coin,Bitget,1.52,tether,,,1.0,87
13-03-24 14:27:00,Swap,16.833,gmx,60.0,1009.98,tether,Binance,0.0134664,gmx,,,60.0,88
13-03-24 15:17:00,Swap,252000.0,reserve-rights-token,0.006,1512.0,tether,Bitget,252.0,reserve-rights-token,,,0.006,89
18-03-24 11:54:00,Achat,1636.0,tether,0.917,1500.212,fiat_eur,Bitget,1.636,tether,,,1.0,90
18-03-24 15:37:00,Swap,199.9007,lukso-token-2,5.0,999.5035,tether,KuCoin,0.9995,tether,,,5.0,91
22-03-24 17:30:00,Swap,3300.0,clore-ai,0.3003,990.99,tether,Bitget,3.3,clore-ai,,,0.3003,92
27-03-24 09:00:00,Transfert,342.4007,lukso-token-2,,,,Ledger,0.076,lukso-token-2,KuCoin,,4.49,93
27-03-24 10:34:00,Airdrop,0.00042181,bitcoin,,,,Ledger,,,,,71122.0,94
27-03-24 23:35:00,Swap,2.02,bittensor,540.0,1090.8,tether,Bitget,0.00202,bittensor,,,540.0,95
29-03-24 09:20:00,Transfert,1280.1285,tether,,,,MEXC,0.29,tether,Bitget,,1.0,96
29-03-24 09:30:00,Swap,521.86,realio-network,2.45,1278.557,tether,MEXC,1.278557,tether,,,2.45,97
30-03-24 20:53:00,Achat,353.0,tether,0.9275,327.4075,fiat_eur,Bitget,0.353,tether,,,1.0,98
30-03-24 21:53:00,Achat,1800.0,tether,0.9282,1670.76,fiat_eur,Bitget,1.8,tether,,,1.0,99
30-03-24 21:55:00,Transfert,2150.847,tether,,,,KuCoin,0.29,tether,Bitget,,1.0,100
30-03-24 22:20:00,Swap,250.0,akash-network,4.9,1225.0,tether,KuCoin,2.45,tether,,,4.9,101
03-04-24 11:41:00,Achat,1615.0,tether,0.93,1501.95,fiat_eur,Bitget,1.615,tether,,,1.0,102
03-04-24 11:49:00,Swap,377.43,origintrail,1.04,392.5272,tether,Bitget,0.37743,origintrail,,,1.04,103
03-04-24 13:39:00,Swap,1162.72,origintrail,1.05,1220.856,tether,Bitget,1.16272,origintrail,,,1.05,104
03-04-24 17:27:00,Achat,1620.0,tether,0.9249,1498.338,fiat_eur,Bitget,1.62,tether,,,1.0,105
