date,open,high,low,close,id,cg_id
03-06-2017,1.02937,1.0392,1.02887,1.038985,fiat_chf_03062017,fiat_chf
04-06-2017,1.0371,1.03873,1.03471,1.036005,fiat_chf_04062017,fiat_chf
05-06-2017,1.036555,1.040145,1.035795,1.039625,fiat_chf_05062017,fiat_chf
06-06-2017,1.039515,1.03983,1.033285,1.036615,fiat_chf_06062017,fiat_chf
07-06-2017,1.035185,1.03811,1.031335,1.03367,fiat_chf_07062017,fiat_chf
08-06-2017,1.03372,1.03526,1.027975,1.031555,fiat_chf_08062017,fiat_chf
09-06-2017,1.03372,1.03526,1.027975,1.031555,fiat_chf_09062017,fiat_chf
10-06-2017,1.03372,1.03526,1.027975,1.031555,fiat_chf_10062017,fiat_chf
11-06-2017,1.031595,1.03412,1.031455,1.032315,fiat_chf_11062017,fiat_chf
12-06-2017,1.03257,1.03495,1.030835,1.032205,fiat_chf_12062017,fiat_chf
13-06-2017,1.03235,1.037255,1.027105,1.029865,fiat_chf_13062017,fiat_chf
14-06-2017,1.029705,1.030535,1.02346,1.025245,fiat_chf_14062017,fiat_chf
15-06-2017,1.02532,1.028075,1.02487,1.026855,fiat_chf_15062017,fiat_chf
16-06-2017,1.02532,1.028075,1.02487,1.026855,fiat_chf_16062017,fiat_chf
17-06-2017,1.02532,1.028075,1.02487,1.026855,fiat_chf_17062017,fiat_chf
18-06-2017,1.027335,1.031385,1.024635,1.02504,fiat_chf_18062017,fiat_chf
19-06-2017,1.02577,1.02821,1.023915,1.025635,fiat_chf_19062017,fiat_chf
20-06-2017,1.02556,1.028515,1.025225,1.028455,fiat_chf_20062017,fiat_chf
21-06-2017,1.02823,1.02962,1.026365,1.029125,fiat_chf_21062017,fiat_chf
22-06-2017,1.028335,1.0335,1.028265,1.031585,fiat_chf_22062017,fiat_chf
23-06-2017,1.028335,1.0335,1.028265,1.031585,fiat_chf_23062017,fiat_chf
24-06-2017,1.028335,1.0335,1.028265,1.031585,fiat_chf_24062017,fiat_chf
25-06-2017,1.031675,1.03231,1.026845,1.028225,fiat_chf_25062017,fiat_chf
