index,total_fiat_usd,total_fiat_eur,total_fiat_cad,total_fiat_chf,cash_in_fiat_usd,cash_in_fiat_eur,cash_in_fiat_cad,cash_in_fiat_chf,cash_in_fiat_usd_percent,cash_in_fiat_eur_percent,cash_in_fiat_cad_percent,cash_in_fiat_chf_percent
2024-02-01,24200.085320552014,22434.490887690754,32590.512855096644,20980.61062079155,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.156383295067616,1.1446623003635634,1.138704418310585,1.1293183912344833
2024-02-02,24407.793370741,22627.04493440345,32870.23550029089,21160.686090199833,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1663084716241479,1.154486876243527,1.1484778580045356,1.13901127115531
2024-02-03,24362.71854395381,22585.258685411896,32809.53275059432,21121.60782344602,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1641546041466433,1.152354840168642,1.14635691901869,1.136907814485707
2024-02-04,24130.02152614277,22463.457606329204,32676.360138590397,21008.751339616018,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1530353481339293,1.1461402528143974,1.1417039010572645,1.130833115085253
2024-02-05,24085.10961878157,22397.044383590368,32496.285737698854,20948.67412829347,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1508892656414842,1.1427516886301081,1.1354121462502282,1.1275993531673136
2024-02-06,23986.259669042203,22264.335928344073,32290.158203426337,20979.847519498122,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1461657934271197,1.1359805804101633,1.1282101014387464,1.1292773159607166
2024-02-07,24351.83159829321,22593.59781623389,32773.244506746894,21276.801815856543,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1636343794478676,1.1527803229093703,1.1450890167986323,1.145261404998684
2024-02-08,24578.69165719449,22788.85498655079,33074.77430741058,21502.068225192783,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1744747206680164,1.1627428187313749,1.1556243930841992,1.1573867670097717
2024-02-09,25109.921522604385,23281.40033990801,33789.633672133736,21966.801701189663,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.1998591494443611,1.1878736808503187,1.1806014015989226,1.1824018664723919
2024-02-10,25318.351953512454,23474.65272823674,34070.11196435654,22149.141974142305,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.2098188444327562,1.1977338878183534,1.190401243412224,1.1922166534407022
2024-02-11,25448.712486825574,23625.749644273437,34231.71468113875,22286.385776998384,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.2160480267295384,1.2054432200405214,1.1960476021678863,1.1996040433241375
2024-02-12,26027.060874147726,24303.0056531157,35304.33367807131,23088.577602657504,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.2436839794532528,1.2399984691387649,1.2335246433056406,1.2427834339714736
2024-02-13,26211.655420813535,24433.848596902884,35499.83127581875,23216.906634083152,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.2525046942274953,1.2466743944259286,1.240355280777162,1.249690970550732
2024-02-14,26895.832191099424,24966.89025035685,36214.56373013872,23666.325423771556,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.2851975784695195,1.2738714762891497,1.2653278550739435,1.273881729996908
2024-02-15,27044.94050471933,25095.520474277455,36469.104020064224,23822.78915725483,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.2923226096725842,1.2804345032259468,1.2742214295342456,1.2823036665638432
2024-02-16,27104.024842574534,25150.345967796133,36548.77706881144,23874.834149662,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.2951459113424286,1.2832318332765291,1.277005186053577,1.2851050801241726
2024-02-17,27842.85740037229,25835.9229088155,37545.06550209657,24525.64172839784,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.3304504822301941,1.3182116365763679,1.3118152562705632,1.3201359465324565
2024-02-18,28472.76059170178,26414.53966129377,38409.74597215904,25123.65214280514,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.360549943381457,1.3477340708600924,1.3420269769656252,1.352324912399382
2024-02-19,29172.52883951675,26992.106478207173,39450.59142293366,25728.737345783615,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.3939878549207503,1.3772029348771715,1.378393858298399,1.38489469124606
2024-02-20,29064.02967854512,26862.38833094118,39251.05126987112,25565.516564303067,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.3888033022377937,1.3705843994447557,1.371421974949004,1.376109044646481
2024-02-21,29345.759558713075,27114.00574577808,39564.47117337145,25830.82944234586,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.4022655575493874,1.383422532046943,1.3823727884722252,1.3903899785058682
2024-02-22,29551.894364560114,27310.772382825457,39922.31435228018,26038.287807778484,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.4121155577810431,1.3934620445335417,1.3948757401961638,1.401556791127915
2024-02-23,29253.448163474066,27034.959395480902,39519.136711279614,25775.325711909056,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.3978545253573598,1.3793893949626443,1.380788813635277,1.3874023922674443
2024-02-24,29710.846919127038,27457.670479573255,40137.046909599034,26178.341515081887,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.4197109888043136,1.4009571427813305,1.402378442373981,1.4090954290768773
2024-02-25,29984.401430619364,27631.82762649922,40494.015828728385,26386.241595455125,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.4327825901309197,1.409843064080949,1.4148508476785382,1.420286017785099
2024-02-26,31317.078375460424,28876.44153677242,42367.89693231655,27514.444564432968,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.496463578702773,1.4733462934936339,1.4803237876574764,1.4810135335347792
2024-02-27,31315.910219743604,28892.681059300106,42519.905254234356,27520.43010219885,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.4964077592401936,1.4741748734380775,1.4856349206414028,1.4813357156677311
2024-02-28,32489.95210240296,30069.924572785203,44122.375064374704,28742.250110495457,20927.390964374823,19599.222303875293,28620.695881244472,18578.11825578894,1.552508487929114,1.5342407013180095,1.5416248174905032,1.5471023337651204
